Description,UPC,Store,LOOKUP,CAT,"In Set, LTO, Sub",SOUTH VENDOR,S VIN,NORTH VENDOR,N VIN,Comments
PRIME ICE POP 16OZ,850040427080,21,PRIME ICE POP 16OZ21,PB,,JPO,92035,ALPENA,3119,
PROPEL BERRY 1LT,052000050585,21,PROPEL BERRY 1LT21,PB,,PEPSI,205478,PEPSI,205478,
PROPEL FIT GRAPE 20OZ,052000707793,21,PROPEL FIT GRAPE 20OZ21,PB,,PEPSI,199656,PEPSI,199656,
PROPEL FIT KIWI STRAWBERRY 20OZ,052000707786,21,PROPEL FIT KIWI STRAWBERRY 20OZ21,PB,,PEPSI,104843,PEPSI,104843,
PROPEL FIT WATER BERRY 20OZ,052000707779,21,PROPEL FIT WATER BERRY 20OZ21,PB,,PEPSI,199655,PEPSI,199655,
PROPEL GRAPE 1LT,052000050592,21,PROPEL GRAPE 1LT21,PB,,PEPSI,205480,PEPSI,205480,
PROPEL KIWI STRAWBERRY 1LT,052000050608,21,PROPEL KIWI STRAWBERRY 1LT21,PB,,PEPSI,205479,PEPSI,205479,
PROPEL ZERO STRAWBERRY LEMONADE 20OZ,052000041538,21,PROPEL ZERO STRAWBERRY LEMONADE 20OZ21,PB,,PEPSI,202055,PEPSI,202055,
PROPEL ZERO WATERMELON 20OZ,052000013580,21,PROPEL ZERO WATERMELON 20OZ21,PB,,PEPSI,159435,PEPSI,159435,
PURE LEAF EXTRA SWEETENED 19OZ,012000286179,21,PURE LEAF EXTRA SWEETENED 19OZ21,PB,,PEPSI,134082,PEPSI,134082,
PURE LEAF RASPBERRY 19OZ,012000286223,21,PURE LEAF RASPBERRY 19OZ21,PB,,PEPSI,134074,PEPSI,134074,
PURE LEAF SWEETENED 19OZ,012000286193,21,PURE LEAF SWEETENED 19OZ21,PB,,PEPSI,134071,PEPSI,134071,
PURE LEAF SWEETENED LEMON 19OZ,012000286186,21,PURE LEAF SWEETENED LEMON 19OZ21,PB,,PEPSI,134073,PEPSI,134073,
PURE LEAF UNSWEETENED 19OZ,012000286209,21,PURE LEAF UNSWEETENED 19OZ21,PB,,PEPSI,134072,PEPSI,134072,
